#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:1-SR-BI:SUPER{BPM:255}SA:Y,255,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS1:259}Fld:SP,259,V:1-SR,,,setpoint,QS1,K,Quadrupole
V:1-SR-MG:SUPER{QS1:259}Fld:I,259,V:1-SR,,,readback,QS1,K,Quadrupole
V:1-SR-MG:SUPER{S3:261}Fld:SP,261,V:1-SR,,,setpoint,S3,K,Sextupole
V:1-SR-MG:SUPER{S3:261}Fld:I,261,V:1-SR,,,readback,S3,K,Sextupole
V:1-SR-MG:SUPER{S3:264}Fld:SP,264,V:1-SR,,,setpoint,S3,K,Sextupole
V:1-SR-MG:SUPER{S3:264}Fld:I,264,V:1-SR,,,readback,S3,K,Sextupole
V:1-SR-MG:SUPER{QS2:266}Fld:SP,266,V:1-SR,,,setpoint,QS2,K,Quadrupole
V:1-SR-MG:SUPER{QS2:266}Fld:I,266,V:1-SR,,,readback,QS2,K,Quadrupole
V:1-SR-BI:SUPER{BPM:268}SA:X,268,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:268}SA:Y,268,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{S4:270}Fld:SP,270,V:1-SR,,,setpoint,S4,K,Sextupole
V:1-SR-MG:SUPER{S4:270}Fld:I,270,V:1-SR,,,readback,S4,K,Sextupole
V:1-SR-MG:SUPER{S4:273}Fld:SP,273,V:1-SR,,,setpoint,S4,K,Sextupole
V:1-SR-MG:SUPER{S4:273}Fld:I,273,V:1-SR,,,readback,S4,K,Sextupole
V:1-SR-MG:SUPER{QS3:275}Fld:SP,275,V:1-SR,,,setpoint,QS3,K,Quadrupole
V:1-SR-MG:SUPER{QS3:275}Fld:I,275,V:1-SR,,,readback,QS3,K,Quadrupole
V:1-SR-MG:SUPER{BEND:277}Fld:SP,277,V:1-SR,,,setpoint,BEND,T,Bending
V:1-SR-MG:SUPER{BEND:277}Fld:I,277,V:1-SR,,,readback,BEND,T,Bending
V:1-SR-MG:SUPER{QS4:281}Fld:SP,281,V:1-SR,,,setpoint,QS4,K,Quadrupole
V:1-SR-MG:SUPER{QS4:281}Fld:I,281,V:1-SR,,,readback,QS4,K,Quadrupole
V:1-SR-BI:SUPER{BPM:283}SA:X,283,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:283}SA:Y,283,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{SD:285}Fld:SP,285,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:285}Fld:I,285,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:288}Fld:SP,288,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:288}Fld:I,288,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{QS5:290}Fld:SP,290,V:1-SR,,,setpoint,QS5,K,Quadrupole
V:1-SR-MG:SUPER{QS5:290}Fld:I,290,V:1-SR,,,readback,QS5,K,Quadrupole
V:1-SR-MG:SUPER{SF:292}Fld:SP,292,V:1-SR,,,setpoint,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:292}Fld:I,292,V:1-SR,,,readback,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:295}Fld:SP,295,V:1-SR,,,setpoint,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:295}Fld:I,295,V:1-SR,,,readback,SF,K,Sextupole
V:1-SR-BI:SUPER{BPM:297}SA:X,297,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:297}SA:Y,297,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS5:299}Fld:SP,299,V:1-SR,,,setpoint,QS5,K,Quadrupole
V:1-SR-MG:SUPER{QS5:299}Fld:I,299,V:1-SR,,,readback,QS5,K,Quadrupole
V:1-SR-MG:SUPER{SD:301}Fld:SP,301,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:301}Fld:I,301,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:304}Fld:SP,304,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:304}Fld:I,304,V:1-SR,,,readback,SD,K,Sextupole
