V:1-SR-MG:SUPER{BEND:61}Fld:SP,elemHandle=put,elemName=bend:61,elemIndex=6100,elemPosition=16.54,elemLength=0.0,id=34,elemField=b0,aphla.sys.SR
V:1-SR-MG:SUPER{BEND:61}Fld:I,elemHandle=get,elemName=bend:61,elemIndex=6100,elemPosition=16.54,elemLength=0.0,id=34,elemField=b0,aphla.sys.SR
V:1-SR-MG:SUPER{QS3:63}Fld:SP,elemHandle=put,elemName=qs3:63,elemIndex=6300,elemPosition=17.16,elemLength=0.0,id=35,elemField=b1,aphla.sys.SR
V:1-SR-MG:SUPER{QS3:63}Fld:I,elemHandle=get,elemName=qs3:63,elemIndex=6300,elemPosition=17.16,elemLength=0.0,id=35,elemField=b1,aphla.sys.SR
V:1-SR-MG:SUPER{S4:65}Fld:SP,elemHandle=put,elemName=s4:65,elemIndex=6500,elemPosition=17.41,elemLength=0.0,id=36,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{S4:65}Fld:I,elemHandle=get,elemName=s4:65,elemIndex=6500,elemPosition=17.41,elemLength=0.0,id=36,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{HC:66}Fld:SP,elemHandle=put,elemName=hc:66,elemIndex=6600,elemPosition=17.41,elemLength=0.0,id=37,elemField=x,aphla.sys.SR
V:1-SR-MG:SUPER{HC:66}Fld:I,elemHandle=get,elemName=hc:66,elemIndex=6600,elemPosition=17.41,elemLength=0.0,id=37,elemField=x,aphla.sys.SR
V:1-SR-MG:SUPER{VC:67}Fld:SP,elemHandle=put,elemName=vc:67,elemIndex=6700,elemPosition=17.41,elemLength=0.0,id=38,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{VC:67}Fld:I,elemHandle=get,elemName=vc:67,elemIndex=6700,elemPosition=17.41,elemLength=0.0,id=38,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{S4:68}Fld:SP,elemHandle=put,elemName=s4:68,elemIndex=6800,elemPosition=17.535,elemLength=0.0,id=39,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{S4:68}Fld:I,elemHandle=get,elemName=s4:68,elemIndex=6800,elemPosition=17.535,elemLength=0.0,id=39,elemField=b2,aphla.sys.SR
V:1-SR-BI:SUPER{BPM:70}SA:X,elemHandle=get,elemName=bpm:70,elemIndex=7000,elemPosition=17.635,elemLength=0.0,id=40,elemField=x,aphla.sys.SR
V:1-SR-BI:SUPER{BPM:70}SA:Y,elemHandle=get,elemName=bpm:70,elemIndex=7000,elemPosition=17.635,elemLength=0.0,id=40,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{QS2:72}Fld:SP,elemHandle=put,elemName=qs2:72,elemIndex=7200,elemPosition=18.56,elemLength=0.0,id=41,elemField=b1,aphla.sys.SR
V:1-SR-MG:SUPER{QS2:72}Fld:I,elemHandle=get,elemName=qs2:72,elemIndex=7200,elemPosition=18.56,elemLength=0.0,id=41,elemField=b1,aphla.sys.SR
V:1-SR-MG:SUPER{S3:74}Fld:SP,elemHandle=put,elemName=s3:74,elemIndex=7400,elemPosition=18.81,elemLength=0.0,id=42,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{S3:74}Fld:I,elemHandle=get,elemName=s3:74,elemIndex=7400,elemPosition=18.81,elemLength=0.0,id=42,elemField=b2,aphla.sys.SR
