#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:1-SR-BI:SUPER{BPM:688}SA:X,688,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:688}SA:Y,688,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QL1:692}Fld:SP,692,V:1-SR,,,setpoint,QL1,K,Quadrupole
V:1-SR-MG:SUPER{QL1:692}Fld:I,692,V:1-SR,,,readback,QL1,K,Quadrupole
V:1-SR-MG:SUPER{S1:694}Fld:SP,694,V:1-SR,,,setpoint,S1,K,Sextupole
V:1-SR-MG:SUPER{S1:694}Fld:I,694,V:1-SR,,,readback,S1,K,Sextupole
V:1-SR-MG:SUPER{HC:695}Fld:SP,695,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:695}Fld:I,695,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:696}Fld:SP,696,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:696}Fld:I,696,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{S1:697}Fld:SP,697,V:1-SR,,,setpoint,S1,K,Sextupole
V:1-SR-MG:SUPER{S1:697}Fld:I,697,V:1-SR,,,readback,S1,K,Sextupole
V:1-SR-MG:SUPER{QL2:699}Fld:SP,699,V:1-SR,,,setpoint,QL2,K,Quadrupole
V:1-SR-MG:SUPER{QL2:699}Fld:I,699,V:1-SR,,,readback,QL2,K,Quadrupole
V:1-SR-BI:SUPER{BPM:701}SA:X,701,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:701}SA:Y,701,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QL3:703}Fld:SP,703,V:1-SR,,,setpoint,QL3,K,Quadrupole
V:1-SR-MG:SUPER{QL3:703}Fld:I,703,V:1-SR,,,readback,QL3,K,Quadrupole
V:1-SR-MG:SUPER{S2:705}Fld:SP,705,V:1-SR,,,setpoint,S2,K,Sextupole
V:1-SR-MG:SUPER{S2:705}Fld:I,705,V:1-SR,,,readback,S2,K,Sextupole
V:1-SR-MG:SUPER{HC:706}Fld:SP,706,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:706}Fld:I,706,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:707}Fld:SP,707,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:707}Fld:I,707,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{S2:708}Fld:SP,708,V:1-SR,,,setpoint,S2,K,Sextupole
V:1-SR-MG:SUPER{S2:708}Fld:I,708,V:1-SR,,,readback,S2,K,Sextupole
V:1-SR-MG:SUPER{BEND:710}Fld:SP,710,V:1-SR,,,setpoint,BEND,T,Bending
V:1-SR-MG:SUPER{BEND:710}Fld:I,710,V:1-SR,,,readback,BEND,T,Bending
V:1-SR-MG:SUPER{QS4:714}Fld:SP,714,V:1-SR,,,setpoint,QS4,K,Quadrupole
V:1-SR-MG:SUPER{QS4:714}Fld:I,714,V:1-SR,,,readback,QS4,K,Quadrupole
V:1-SR-BI:SUPER{BPM:716}SA:X,716,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:716}SA:Y,716,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{SD:718}Fld:SP,718,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:718}Fld:I,718,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{HC:719}Fld:SP,719,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:719}Fld:I,719,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:720}Fld:SP,720,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:720}Fld:I,720,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{SD:721}Fld:SP,721,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:721}Fld:I,721,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{QS5:723}Fld:SP,723,V:1-SR,,,setpoint,QS5,K,Quadrupole
V:1-SR-MG:SUPER{QS5:723}Fld:I,723,V:1-SR,,,readback,QS5,K,Quadrupole
V:1-SR-MG:SUPER{SF:725}Fld:SP,725,V:1-SR,,,setpoint,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:725}Fld:I,725,V:1-SR,,,readback,SF,K,Sextupole
V:1-SR-MG:SUPER{HC:726}Fld:SP,726,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:726}Fld:I,726,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:727}Fld:SP,727,V:1-SR,,,setpoint,VC,,Vertical Corrector
