Tune: 3.322128e+01 1.625978e+01
Chrom: 2.000000e+00 1.789887e+00 
Alpha_c: 3.627490e-04
 element        s            alphax         alphay         betax          betay            etax          etaxp           etay          etayp           phix           phiy     
        DSCH   2.222985e+01   7.898836e+00  -2.301390e+00   1.490201e+01   1.173977e+01   -1.181735e-04   4.493712e-05   0.000000e+00   0.000000e+00   5.808243e+00   2.103947e+00 
  CL1YG6C30B   2.222985e+01   7.898836e+00  -2.301390e+00   1.490201e+01   1.173977e+01   -1.181735e-04   4.493712e-05   0.000000e+00   0.000000e+00   5.808243e+00   2.103947e+00 
  CL1XG6C30B   2.222985e+01   7.898836e+00  -2.301390e+00   1.490201e+01   1.173977e+01   -1.181735e-04   4.493712e-05   0.000000e+00   0.000000e+00   5.808243e+00   2.103947e+00 
        DSCH   2.232985e+01   7.473446e+00  -2.355023e+00   1.336478e+01   1.220541e+01   -1.136797e-04   4.493712e-05   0.000000e+00   0.000000e+00   5.815329e+00   2.112301e+00 
     DL2AG6B   2.246460e+01   6.900233e+00  -2.427294e+00   1.142793e+01   1.284983e+01   -1.076245e-04   4.493712e-05   0.000000e+00   0.000000e+00   5.826233e+00   2.123061e+00 
   QL1G6C30B   2.273260e+01   1.988660e+00   3.132248e+00   9.133881e+00   1.265323e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   5.852978e+00   2.143676e+00 
     DL1AG6B   2.281090e+01   1.946186e+00   3.065348e+00   8.825782e+00   1.216796e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   5.861699e+00   2.149986e+00 
   PL1G6C30B   2.281090e+01   1.946186e+00   3.065348e+00   8.825782e+00   1.216796e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   5.861699e+00   2.149986e+00 
      DBPM06   2.289860e+01   1.898612e+00   2.990417e+00   8.488593e+00   1.163686e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   5.871832e+00   2.157356e+00 
   SL1G6C30B   2.309860e+01   1.790120e+00   2.819536e+00   7.750847e+00   1.047487e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   5.896491e+00   2.175472e+00 
    GEG6C30B   2.309860e+01   1.790120e+00   2.819536e+00   7.750847e+00   1.047487e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   5.896491e+00   2.175472e+00 
    GSG1C01A   2.309860e+01   1.790120e+00   2.819536e+00   7.750847e+00   1.047487e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   5.896491e+00   2.175472e+00 
     DL0BG1A   2.354512e+01   1.547900e+00   2.438027e+00   6.260354e+00   8.127267e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   5.960636e+00   2.223885e+00 
         DFT   2.356712e+01   1.535966e+00   2.419230e+00   6.192509e+00   8.020407e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   5.964170e+00   2.226610e+00 
   FL1G1C01A   2.356712e+01   1.535966e+00   2.419230e+00   6.192509e+00   8.020407e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   5.964170e+00   2.226610e+00 
         DFT   2.358912e+01   1.524032e+00   2.400433e+00   6.125189e+00   7.914375e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   5.967742e+00   2.229372e+00 
        DFT2   2.364012e+01   1.496366e+00   2.356859e+00   5.971149e+00   7.671753e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   5.976175e+00   2.235917e+00 
        DLDK   2.373512e+01   1.444833e+00   2.275690e+00   5.691735e+00   7.231661e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   5.992471e+00   2.248671e+00 
     DL01G1A   2.639860e+01  -4.884981e-15  -2.664535e-15   1.843452e+00   1.170405e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   6.957849e+00   3.405441e+00 
   MK5G1C01A   2.639860e+01  -4.884981e-15  -2.664535e-15   1.843452e+00   1.170405e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   6.957849e+00   3.405441e+00 
     DL02G1A   2.919628e+01  -1.517631e+00  -2.390351e+00   6.089298e+00   7.857844e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   7.946023e+00   4.580014e+00 
        DLDK   2.929128e+01  -1.569165e+00  -2.471520e+00   6.382543e+00   8.319721e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   7.961263e+00   4.591764e+00 
