#set point, Properties, Tag 
# missing pulse magnet : pulsed septum (22.9988, SP1SI, 124),kick3 (24.3886, BU3SI, 127), kick4 (26.5139, BU4SI, 133), BPM (25.7139, P2SI, 130)
LTB-MG{Cor:6}I:Ps2DCCT1-I, elemHandle=get, elemIndex=94, elemName=CY6, devName=C6, elemLength=0., elemPosition=16.362, elemType=VCOR, system=LTB, elemField=y, aphla.sys.LTB 
LTB-MG{Cor:7}I:Ps1DCCT1-I, elemHandle=get, elemIndex=101, elemName=CX7, devName=C7, elemLength=0., elemPosition=18.0382, elemType=HCOR, system=LTB, elemField=x, aphla.sys.LTB 
LTB-MG{Cor:7}I:Ps2DCCT1-I, elemHandle=get, elemIndex=102, elemName=CY7, devName=C7, elemLength=0., elemPosition=18.0382, elemType=VCOR, system=LTB, elemField=y, aphla.sys.LTB 
LTB-MG{Cor:8}I:Ps1DCCT1-I, elemHandle=get, elemIndex=117, elemName=CX8, devName=C8, elemLength=0., elemPosition=20.5161, elemType=HCOR, system=LTB, elemField=x, aphla.sys.LTB 
LTB-MG{Cor:8}I:Ps2DCCT1-I, elemHandle=get, elemIndex=118, elemName=CY8, devName=C8, elemLength=0., elemPosition=20.5161, elemType=VCOR, system=LTB, elemField=y, aphla.sys.LTB 
 
LTB-MG{Cor:5}RpStart1-Cmd, elemHandle=get, elemIndex=64, elemName=CX5, devName=C5, elemLength=0., elemPosition=11.1398, elemType=HCOR, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Cor:5}RpStart2-Cmd, elemHandle=get, elemIndex=65, elemName=CY5, devName=C5, elemLength=0., elemPosition=11.1398, elemType=VCOR, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Cor:6}RpStart1-Cmd, elemHandle=get, elemIndex=93, elemName=CX6, devName=C6, elemLength=0., elemPosition=16.362, elemType=HCOR, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Cor:6}RpStart2-Cmd, elemHandle=get, elemIndex=94, elemName=CY6, devName=C6, elemLength=0., elemPosition=16.362, elemType=VCOR, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Cor:7}RpStart1-Cmd, elemHandle=get, elemIndex=101, elemName=CX7, devName=C7, elemLength=0., elemPosition=18.0382, elemType=HCOR, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Cor:7}RpStart2-Cmd, elemHandle=get, elemIndex=102, elemName=CY7, devName=C7, elemLength=0., elemPosition=18.0382, elemType=VCOR, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Cor:8}RpStart1-Cmd, elemHandle=get, elemIndex=117, elemName=CX8, devName=C8, elemLength=0., elemPosition=20.5161, elemType=HCOR, system=LTB, elemField=ramping, aphla.sys.LTB 
LTB-MG{Cor:8}RpStart2-Cmd, elemHandle=get, elemIndex=118, elemName=CY8, devName=C8, elemLength=0., elemPosition=20.5161, elemType=VCOR, system=LTB, elemField=ramping, aphla.sys.LTB 

LTB-BI{BPM:3}I-I, elemHandle=get, elemIndex=68, elemName=P3, devName=P3, elemLength=0., elemPosition=11.353, elemType=BPM, system=LTB, elemField=I, aphla.sys.LTB 
LTB-BI{BPM:4}I-I, elemHandle=get, elemIndex=79, elemName=P4, devName=P4, elemLength=0., elemPosition=13.9128, elemType=BPM, system=LTB, elemField=I, aphla.sys.LTB 
LTB-BI{BPM:5}I-I, elemHandle=get, elemIndex=89, elemName=P5, devName=P5, elemLength=0., elemPosition=16.0618, elemType=BPM, system=LTB, elemField=I, aphla.sys.LTB 
LTB-BI{BPM:6}I-I, elemHandle=get, elemIndex=121, elemName=P6, devName=P6, elemLength=0., elemPosition=21.6023, elemType=BPM, system=LTB, elemField=I, aphla.sys.LTB 
#BR:IS-BI{BPM:2}Sum-I, elemHandle=get, elemIndex=130, elemName=P2SI, devName=P2SI, elemLength=0., elemPosition=25.7139, elemType=BPM, system=LTB, elemField=I, aphla.sys.LTB 

LTB-BI{BPM:3}Pos:X-I, elemHandle=get, elemIndex=68, elemName=P3, devName=P3, elemLength=0., elemPosition=11.353, elemType=BPM, system=LTB, elemField=x, aphla.sys.LTB 
LTB-BI{BPM:4}Pos:X-I, elemHandle=get, elemIndex=79, elemName=P4, devName=P4, elemLength=0., elemPosition=13.9128, elemType=BPM, system=LTB, elemField=x, aphla.sys.LTB 
LTB-BI{BPM:5}Pos:X-I, elemHandle=get, elemIndex=89, elemName=P5, devName=P5, elemLength=0., elemPosition=16.0618, elemType=BPM, system=LTB, elemField=x, aphla.sys.LTB 
LTB-BI{BPM:6}Pos:X-I, elemHandle=get, elemIndex=121, elemName=P6, devName=P6, elemLength=0., elemPosition=21.6023, elemType=BPM, system=LTB, elemField=x, aphla.sys.LTB 
#BR:IS-BI{BPM:2}Pos:X-I, elemHandle=get, elemIndex=130, elemName=P2SI, devName=P2SI, elemLength=0., elemPosition=25.7139, elemType=BPM, system=LTB, elemField=x, aphla.sys.LTB 

LTB-BI{BPM:3}Pos:Y-I, elemHandle=get, elemIndex=68, elemName=P3, devName=P3, elemLength=0., elemPosition=11.353, elemType=BPM, system=LTB, elemField=y, aphla.sys.LTB 
LTB-BI{BPM:4}Pos:Y-I, elemHandle=get, elemIndex=79, elemName=P4, devName=P4, elemLength=0., elemPosition=13.9128, elemType=BPM, system=LTB, elemField=y, aphla.sys.LTB 
LTB-BI{BPM:5}Pos:Y-I, elemHandle=get, elemIndex=89, elemName=P5, devName=P5, elemLength=0., elemPosition=16.0618, elemType=BPM, system=LTB, elemField=y, aphla.sys.LTB 
LTB-BI{BPM:6}Pos:Y-I, elemHandle=get, elemIndex=121, elemName=P6, devName=P6, elemLength=0., elemPosition=21.6023, elemType=BPM, system=LTB, elemField=y, aphla.sys.LTB 
#BR:IS-BI{BPM:2}Pos:Y-I, elemHandle=get, elemIndex=130, elemName=P2SI, devName=P2SI, elemLength=0., elemPosition=25.7139, elemType=BPM, system=LTB, elemField=y, aphla.sys.LTB 

LTB-BI{ICT:2}AveQOverINOS-I, elemHandle=get, elemIndex=110, elemName=ICT2, devName=ICT2, elemLength=0., elemPosition=19.7953, elemType=ICT, system=LTB, elemField=Q, aphla.sys.LTB
LTB-BI{ICT:2}StdQOverINOS-I, elemHandle=get, elemIndex=110, elemName=ICT2, devName=ICT2, elemLength=0., elemPosition=19.7953, elemType=ICT, system=LTB, elemField=Qerr, aphla.sys.LTB

LTB-BI{FCT:2}NbrBunches-I, elemHandle=get, elemIndex=108, elemName=FCT2, devName=FCT2, elemLength=0., elemPosition=19.6029, elemType=FCT, system=LTB, elemField=nBunches, aphla.sys.LTB 
 
LTB-BI{VF:3}Pos-Sts,                elemHandle=get, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=position, aphla.sys.LTB 
LTB-BI{VF:3}TIFF1:FileNumber_RBV,   elemHandle=get, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=imageNumber, aphla.sys.LTB 
LTB-BI{VF:3}TIFF1:FullFileName_RBV, elemHandle=get, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=imageName, aphla.sys.LTB 
