# 2011-04-13T18:38:43
SR:C01-MG:G01A{HFCor:FL2}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=FL2G1C01A, ELEM_NAME=FXL2G1C01A, ELEM_TYPE=TRIMX, GIRDER=G1, LENGTH=0.044, ORDINAL=113, S_POSITION=29.3863, SYMMETRY=A,; ~tags= HLA.EPUT HLA.X
SR:C01-MG:G01A{VFCor:FL1}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=FL1G1C01A, ELEM_NAME=FYL1G1C01A, ELEM_TYPE=TRIMY, GIRDER=G1, LENGTH=0.044, ORDINAL=105, S_POSITION=23.5891, SYMMETRY=A,; ~tags= HLA.EGET HLA.Y
SR:C01-MG:G01A{VFCor:FL1}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=FL1G1C01A, ELEM_NAME=FYL1G1C01A, ELEM_TYPE=TRIMY, GIRDER=G1, LENGTH=0.044, ORDINAL=105, S_POSITION=23.5891, SYMMETRY=A,; ~tags= HLA.EPUT HLA.Y
SR:C01-MG:G01A{VFCor:FL2}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=FL2G1C01A, ELEM_NAME=FYL2G1C01A, ELEM_TYPE=TRIMY, GIRDER=G1, LENGTH=0.044, ORDINAL=114, S_POSITION=29.3863, SYMMETRY=A,; ~tags= HLA.EGET HLA.Y
SR:C01-MG:G01A{VFCor:FL2}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=FL2G1C01A, ELEM_NAME=FYL2G1C01A, ELEM_TYPE=TRIMY, GIRDER=G1, LENGTH=0.044, ORDINAL=114, S_POSITION=29.3863, SYMMETRY=A,; ~tags= HLA.EPUT HLA.Y
SR:C01-MG:G02A{HCor:L1}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=CL1G2C01A, ELEM_NAME=CXL1G2C01A, ELEM_TYPE=TRIMX, GIRDER=G2, LENGTH=0.2, ORDINAL=125, S_POSITION=30.6673, SYMMETRY=A,; ~tags= HLA.EGET HLA.X
SR:C01-MG:G02A{HCor:L1}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=CL1G2C01A, ELEM_NAME=CXL1G2C01A, ELEM_TYPE=TRIMX, GIRDER=G2, LENGTH=0.2, ORDINAL=125, S_POSITION=30.6673, SYMMETRY=A,; ~tags= HLA.EPUT HLA.X
SR:C01-MG:G02A{HCor:L2}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=CL2G2C01A, ELEM_NAME=CXL2G2C01A, ELEM_TYPE=TRIMX, GIRDER=G2, LENGTH=0.2, ORDINAL=133, S_POSITION=32.1047, SYMMETRY=A,; ~tags= HLA.EGET HLA.X
SR:C01-MG:G02A{HCor:L2}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=CL2G2C01A, ELEM_NAME=CXL2G2C01A, ELEM_TYPE=TRIMX, GIRDER=G2, LENGTH=0.2, ORDINAL=133, S_POSITION=32.1047, SYMMETRY=A,; ~tags= HLA.EPUT HLA.X
SR:C01-MG:G02A{Quad:L1}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=QL1G2C01A, ELEM_NAME=QL1G2C01A, ELEM_TYPE=QUAD, GIRDER=G2, LENGTH=0.275, ORDINAL=122, S_POSITION=30.3361, SYMMETRY=A,; ~tags= HLA.EGET
SR:C01-MG:G02A{Quad:L1}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=QL1G2C01A, ELEM_NAME=QL1G2C01A, ELEM_TYPE=QUAD, GIRDER=G2, LENGTH=0.275, ORDINAL=122, S_POSITION=30.3361, SYMMETRY=A,; ~tags= HLA.EPUT
SR:C01-MG:G02A{Quad:L2}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=QL2G2C01A, ELEM_NAME=QL2G2C01A, ELEM_TYPE=QUAD, GIRDER=G2, LENGTH=0.448, ORDINAL=130, S_POSITION=31.6966, SYMMETRY=A,; ~tags= HLA.EGET
SR:C01-MG:G02A{Quad:L2}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=QL2G2C01A, ELEM_NAME=QL2G2C01A, ELEM_TYPE=QUAD, GIRDER=G2, LENGTH=0.448, ORDINAL=130, S_POSITION=31.6966, SYMMETRY=A,; ~tags= HLA.EPUT
SR:C01-MG:G02A{Quad:L3}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=QL3G2C01A, ELEM_NAME=QL3G2C01A, ELEM_TYPE=QUAD, GIRDER=G2, LENGTH=0.275, ORDINAL=140, S_POSITION=32.8997, SYMMETRY=A,; ~tags= HLA.EGET
SR:C01-MG:G02A{Quad:L3}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=QL3G2C01A, ELEM_NAME=QL3G2C01A, ELEM_TYPE=QUAD, GIRDER=G2, LENGTH=0.275, ORDINAL=140, S_POSITION=32.8997, SYMMETRY=A,; ~tags= HLA.EPUT
SR:C01-MG:G02A{Sext:L1}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=SL1G2C01A, ELEM_NAME=SL1G2C01A, ELEM_TYPE=SEXT, GIRDER=G2, LENGTH=0.2, ORDINAL=118, S_POSITION=29.8986, SYMMETRY=A,; ~tags= HLA.EGET
SR:C01-MG:G02A{Sext:L1}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=SL1G2C01A, ELEM_NAME=SL1G2C01A, ELEM_TYPE=SEXT, GIRDER=G2, LENGTH=0.2, ORDINAL=118, S_POSITION=29.8986, SYMMETRY=A,; ~tags= HLA.EPUT
SR:C01-MG:G02A{Sext:L2}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=SL2G2C01A, ELEM_NAME=SL2G2C01A, ELEM_TYPE=SEXT, GIRDER=G2, LENGTH=0.2, ORDINAL=128, S_POSITION=30.9986, SYMMETRY=A,; ~tags= HLA.EGET
SR:C01-MG:G02A{Sext:L2}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=SL2G2C01A, ELEM_NAME=SL2G2C01A, ELEM_TYPE=SEXT, GIRDER=G2, LENGTH=0.2, ORDINAL=128, S_POSITION=30.9986, SYMMETRY=A,; ~tags= HLA.EPUT
SR:C01-MG:G02A{Sext:L3}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=SL3G2C01A, ELEM_NAME=SL3G2C01A, ELEM_TYPE=SEXT, GIRDER=G2, LENGTH=0.2, ORDINAL=136, S_POSITION=32.4622, SYMMETRY=A,; ~tags= HLA.EGET
SR:C01-MG:G02A{Sext:L3}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=SL3G2C01A, ELEM_NAME=SL3G2C01A, ELEM_TYPE=SEXT, GIRDER=G2, LENGTH=0.2, ORDINAL=136, S_POSITION=32.4622, SYMMETRY=A,; ~tags= HLA.EPUT
