#   read back           ;             Properties          ;              Tag   
LTB:MG{VCor:8}Fld-I;  HANDLE=readback, ORDINAL= 123  ,  ELEM_NAME=C8   , DEV_NAME=C8   ,LENGTH=0.15 , S_POSITION=20.67106  , ELEM_TYPE=VCOR , SYSTEM=LTB  ; HLA.EGET, HLA.Y
LTB:BI{BPM:6}SA:X-I;  HANDLE=readback, ORDINAL= 127  ,  ELEM_NAME=P6   , DEV_NAME=P6   ,LENGTH=0.16 , S_POSITION=21.5368  , ELEM_TYPE=BPMX , SYSTEM=LTB  ; HLA.EGET, HLA.X
LTB:BI{BPM:6}SA:Y-I;  HANDLE=readback, ORDINAL= 127  ,  ELEM_NAME=P6   , DEV_NAME=P6   ,LENGTH=0.16 , S_POSITION=21.5368  , ELEM_TYPE=BPMY , SYSTEM=LTB  ; HLA.EGET, HLA.Y
LTB:MG{Bend:P1SI}Fld-I; HANDLE=readback, ORDINAL= 130  ,  ELEM_NAME=SP1SI, DEV_NAME=SP1SI, LENGTH=0.75 , S_POSITION=22.99876  , ELEM_TYPE=BEND , SYSTEM=LTB  ; HLA.EGET
LTB:MG{Bend:U3SI}Fld-I; HANDLE=readback, ORDINAL= 133  ,  ELEM_NAME=BU3SI, DEV_NAME=BU3SI, LENGTH=0.2 , S_POSITION=24.38856  , ELEM_TYPE=BEND , SYSTEM=LTB  ; HLA.EGET
LTB:BI{BPM:2SI}SA:X-I; HANDLE=readback, ORDINAL= 136  ,  ELEM_NAME=P2SI , DEV_NAME=P2SI ,LENGTH=0.09 , S_POSITION=25.75888  , ELEM_TYPE=BPMX , SYSTEM=LTB  ; HLA.EGET, HLA.X
LTB:BI{BPM:2SI}SA:Y-I; HANDLE=readback, ORDINAL= 136  ,  ELEM_NAME=P2SI , DEV_NAME=P2SI ,LENGTH=0.09 , S_POSITION=25.75888  , ELEM_TYPE=BPMY , SYSTEM=LTB  ; HLA.EGET, HLA.Y
LTB:MG{Bend:U4SI}Fld-I; HANDLE=readback, ORDINAL= 139  ,  ELEM_NAME=BU4SI, DEV_NAME=BU4SI, LENGTH=0.2 , S_POSITION=26.5139  , ELEM_TYPE=BEND , SYSTEM=LTB  ; HLA.EGET
LTB:MG{HCor:1}Fld-SP;  HANDLE=setpoint, ORDINAL= 9    ,  ELEM_NAME=C1   , DEV_NAME=C1   , LENGTH=0.15 , S_POSITION=0.642092  , ELEM_TYPE=HCOR, SYSTEM=LTB  ; HLA.EPUT, HLA.X          
LTB:MG{VCor:1}Fld-SP;  HANDLE=setpoint, ORDINAL= 10  ,  ELEM_NAME=C1   , DEV_NAME=C1   , LENGTH=0.15 , S_POSITION=0.642092  , ELEM_TYPE=VCOR , SYSTEM=LTB  ; HLA.EPUT, HLA.Y          
LTB:MG{Quad:1}Fld-SP;  HANDLE=setpoint, ORDINAL= 13  ,  ELEM_NAME=Q1   , DEV_NAME=Q1   , LENGTH=0.15 , S_POSITION=0.839362  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EPUT                 
LTB:MG{Quad:2}Fld-SP;  HANDLE=setpoint, ORDINAL= 17  ,  ELEM_NAME=Q2   , DEV_NAME=Q2   , LENGTH=0.15 , S_POSITION=1.233562  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EPUT                 
LTB:MG{Quad:3}Fld-SP;  HANDLE=setpoint, ORDINAL= 19  ,  ELEM_NAME=Q3   , DEV_NAME=Q3   , LENGTH=0.15 , S_POSITION=1.627498  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EPUT                 
LTB:MG{HCor:2}Fld-SP;  HANDLE=setpoint, ORDINAL= 22  ,  ELEM_NAME=C2   , DEV_NAME=C2   , LENGTH=0.15 , S_POSITION=1.8186    , ELEM_TYPE=HCOR , SYSTEM=LTB  ; HLA.EPUT, HLA.X          
LTB:MG{VCor:2}Fld-SP;  HANDLE=setpoint, ORDINAL= 23  ,  ELEM_NAME=C2   , DEV_NAME=C2   , LENGTH=0.15 , S_POSITION=1.8186    , ELEM_TYPE=VCOR , SYSTEM=LTB  ; HLA.EPUT, HLA.Y          
LTB:MG{Bend:1}Fld-SP;  HANDLE=setpoint, ORDINAL= 27  ,  ELEM_NAME=B1   , DEV_NAME=B1   , LENGTH=0.35 , S_POSITION=2.454754  , ELEM_TYPE=BEND , SYSTEM=LTB  ; HLA.EPUT                 
LTB:MG{Quad:4}Fld-SP;  HANDLE=setpoint, ORDINAL= 29  ,  ELEM_NAME=Q4   , DEV_NAME=Q4   , LENGTH=0.15 , S_POSITION=3.364591  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EPUT                 
