PV,cell,devName,elemField,elemName,elemType,girder,handle,hostName,iocName,length,ordinal,sEnd,symmetry,system
V:1-SR:C01-MG:G4{QM1:159}Fld:SP,C01,,,qm1g4c01a,QUAD,G4,setpoint,,,,159,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G4{QM1:159}Fld:I,C01,,,qm1g4c01a,QUAD,G4,readback,,,,159,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G4{SM1:161}Fld:SP,C01,,,sm1g4c01a,SEXT,G4,setpoint,,,,161,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-MG:G4{SM1:161}Fld:I,C01,,,sm1g4c01a,SEXT,G4,readback,,,,161,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-BI:G4{BPM:166}SA:X,C01,,,p_bpm_166,BPM,G4,X,,,,166,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-BI:G4{BPM:166}SA:Y,C01,,,p_bpm_166,BPM,G4,Y,,,,166,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-MG:G4{QM2:168}Fld:SP,C01,,,qm2g4c01a,QUAD,G4,setpoint,,,,168,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G4{QM2:168}Fld:I,C01,,,qm2g4c01a,QUAD,G4,readback,,,,168,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G4{SM2H:170}Fld:SP,C01,,,sm2hg4c01b,SEXT,G4,setpoint,,,,170,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-MG:G4{SM2H:170}Fld:I,C01,,,sm2hg4c01b,SEXT,G4,readback,,,,170,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-MG:G4{SM2H:171}Fld:SP,C01,,,sm2hg4c01b,SEXT,G4,setpoint,,,,171,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-MG:G4{SM2H:171}Fld:I,C01,,,sm2hg4c01b,SEXT,G4,readback,,,,171,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-MG:G4{QM2:173}Fld:SP,C01,,,qm2g4c01b,QUAD,G4,setpoint,,,,173,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G4{QM2:173}Fld:I,C01,,,qm2g4c01b,QUAD,G4,readback,,,,173,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G4{SM1:175}Fld:SP,C01,,,sm1g4c01b,SEXT,G4,setpoint,,,,175,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-MG:G4{SM1:175}Fld:I,C01,,,sm1g4c01b,SEXT,G4,readback,,,,175,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-BI:G4{BPM:177}SA:X,C01,,,p_bpm_177,BPM,G4,X,,,,177,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-BI:G4{BPM:177}SA:Y,C01,,,p_bpm_177,BPM,G4,Y,,,,177,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-MG:G4{QM1:179}Fld:SP,C01,,,qm1g4c01b,QUAD,G4,setpoint,,,,179,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G4{QM1:179}Fld:I,C01,,,qm1g4c01b,QUAD,G4,readback,,,,179,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G4{CH:182}Fld:SP,C01,,,ch_182,HCOR,G4,setpoint,,,,182,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C01-MG:G4{CH:182}Fld:I,C01,,,ch_182,HCOR,G4,readback,,,,182,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C01-MG:G4{CV:183}Fld:SP,C01,,,cv_183,VCOR,G4,setpoint,,,,183,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C01-MG:G4{CV:183}Fld:I,C01,,,cv_183,VCOR,G4,readback,,,,183,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C01-MG:G5{B1:190}Fld:SP,C01,,,b1g5c01b,DIPOLE,G5,setpoint,,,,190,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-MG:G5{B1:190}Fld:I,C01,,,b1g5c01b,DIPOLE,G5,readback,,,,190,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-MG:G6{CH:195}Fld:SP,C01,,,ch_195,HCOR,G6,setpoint,,,,195,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C01-MG:G6{CH:195}Fld:I,C01,,,ch_195,HCOR,G6,readback,,,,195,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C01-MG:G6{CV:196}Fld:SP,C01,,,cv_196,VCOR,G6,setpoint,,,,196,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C01-MG:G6{CV:196}Fld:I,C01,,,cv_196,VCOR,G6,readback,,,,196,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C01-MG:G6{SH4:199}Fld:SP,C01,,,sh4g6c01b,SEXT,G6,setpoint,,,,199,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-MG:G6{SH4:199}Fld:I,C01,,,sh4g6c01b,SEXT,G6,readback,,,,199,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-BI:G6{BPM:201}SA:X,C01,,,p_bpm_201,BPM,G6,X,,,,201,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-BI:G6{BPM:201}SA:Y,C01,,,p_bpm_201,BPM,G6,Y,,,,201,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C01-MG:G6{QH3:203}Fld:SP,C01,,,qh3g6c01b,QUAD,G6,setpoint,,,,203,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G6{QH3:203}Fld:I,C01,,,qh3g6c01b,QUAD,G6,readback,,,,203,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C01-MG:G6{SH3:205}Fld:SP,C01,,,sh3g6c01b,SEXT,G6,setpoint,,,,205,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C01-MG:G6{SH3:205}Fld:I,C01,,,sh3g6c01b,SEXT,G6,readback,,,,205,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
