#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:2-SR:C01-MG:G6{CXH2:203}Fld:I,203,V:2-SR,C01,G6,readback,CXH2G6C01B,,Horizontal Corrector
V:2-SR:C01-MG:G6{CYH2:204}Fld:SP,204,V:2-SR,C01,G6,setpoint,CYH2G6C01B,,Vertical Corrector
V:2-SR:C01-MG:G6{CYH2:204}Fld:I,204,V:2-SR,C01,G6,readback,CYH2G6C01B,,Vertical Corrector
V:2-SR:C01-MG:G6{SH4:207}Fld:SP,207,V:2-SR,C01,G6,setpoint,SH4G6C01B,K,Sextupole
V:2-SR:C01-MG:G6{SH4:207}Fld:I,207,V:2-SR,C01,G6,readback,SH4G6C01B,K,Sextupole
V:2-SR:C01-BI:G6{PH2:209}SA:X,209,V:2-SR,C01,G6,readback,PH2G6C01B,X,Beam Position Monitor
V:2-SR:C01-BI:G6{PH2:209}SA:Y,209,V:2-SR,C01,G6,readback,PH2G6C01B,Y,Beam Position Monitor
V:2-SR:C01-MG:G6{QH3:211}Fld:SP,211,V:2-SR,C01,G6,setpoint,QH3G6C01B,K,Quadrupole
V:2-SR:C01-MG:G6{QH3:211}Fld:I,211,V:2-SR,C01,G6,readback,QH3G6C01B,K,Quadrupole
V:2-SR:C01-MG:G6{SH3:213}Fld:SP,213,V:2-SR,C01,G6,setpoint,SH3G6C01B,K,Sextupole
V:2-SR:C01-MG:G6{SH3:213}Fld:I,213,V:2-SR,C01,G6,readback,SH3G6C01B,K,Sextupole
V:2-SR:C01-MG:G6{QH2:215}Fld:SP,215,V:2-SR,C01,G6,setpoint,QH2G6C01B,K,Quadrupole
V:2-SR:C01-MG:G6{QH2:215}Fld:I,215,V:2-SR,C01,G6,readback,QH2G6C01B,K,Quadrupole
V:2-SR:C01-MG:G6{CXH1:218}Fld:SP,218,V:2-SR,C01,G6,setpoint,CXH1G6C01B,,Horizontal Corrector
V:2-SR:C01-MG:G6{CXH1:218}Fld:I,218,V:2-SR,C01,G6,readback,CXH1G6C01B,,Horizontal Corrector
V:2-SR:C01-MG:G6{CYH1:219}Fld:SP,219,V:2-SR,C01,G6,setpoint,CYH1G6C01B,,Vertical Corrector
V:2-SR:C01-MG:G6{CYH1:219}Fld:I,219,V:2-SR,C01,G6,readback,CYH1G6C01B,,Vertical Corrector
V:2-SR:C01-MG:G6{QH1:222}Fld:SP,222,V:2-SR,C01,G6,setpoint,QH1G6C01B,K,Quadrupole
V:2-SR:C01-MG:G6{QH1:222}Fld:I,222,V:2-SR,C01,G6,readback,QH1G6C01B,K,Quadrupole
V:2-SR:C01-BI:G6{PH1:224}SA:X,224,V:2-SR,C01,G6,readback,PH1G6C01B,X,Beam Position Monitor
V:2-SR:C01-BI:G6{PH1:224}SA:Y,224,V:2-SR,C01,G6,readback,PH1G6C01B,Y,Beam Position Monitor
V:2-SR:C01-MG:G6{SH1:226}Fld:SP,226,V:2-SR,C01,G6,setpoint,SH1G6C01B,K,Sextupole
V:2-SR:C01-MG:G6{SH1:226}Fld:I,226,V:2-SR,C01,G6,readback,SH1G6C01B,K,Sextupole
V:2-SR:C02-MG:G1{FXH1:231}Fld:SP,231,V:2-SR,C02,G1,setpoint,FXH1G1C02A,,Horizontal Corrector
V:2-SR:C02-MG:G1{FXH1:231}Fld:I,231,V:2-SR,C02,G1,readback,FXH1G1C02A,,Horizontal Corrector
V:2-SR:C02-MG:G1{FYH1:232}Fld:SP,232,V:2-SR,C02,G1,setpoint,FYH1G1C02A,,Vertical Corrector
V:2-SR:C02-MG:G1{FYH1:232}Fld:I,232,V:2-SR,C02,G1,readback,FYH1G1C02A,,Vertical Corrector
V:2-SR:C02-MG:G1{FXH2:237}Fld:SP,237,V:2-SR,C02,G1,setpoint,FXH2G1C02A,,Horizontal Corrector
V:2-SR:C02-MG:G1{FXH2:237}Fld:I,237,V:2-SR,C02,G1,readback,FXH2G1C02A,,Horizontal Corrector
V:2-SR:C02-MG:G1{FYH2:238}Fld:SP,238,V:2-SR,C02,G1,setpoint,FYH2G1C02A,,Vertical Corrector
V:2-SR:C02-MG:G1{FYH2:238}Fld:I,238,V:2-SR,C02,G1,readback,FYH2G1C02A,,Vertical Corrector
V:2-SR:C02-MG:G2{SH1:243}Fld:SP,243,V:2-SR,C02,G2,setpoint,SH1G2C02A,K,Sextupole
V:2-SR:C02-MG:G2{SH1:243}Fld:I,243,V:2-SR,C02,G2,readback,SH1G2C02A,K,Sextupole
V:2-SR:C02-BI:G2{PH1:245}SA:X,245,V:2-SR,C02,G2,readback,PH1G2C02A,X,Beam Position Monitor
V:2-SR:C02-BI:G2{PH1:245}SA:Y,245,V:2-SR,C02,G2,readback,PH1G2C02A,Y,Beam Position Monitor
V:2-SR:C02-MG:G2{QH1:247}Fld:SP,247,V:2-SR,C02,G2,setpoint,QH1G2C02A,K,Quadrupole
V:2-SR:C02-MG:G2{QH1:247}Fld:I,247,V:2-SR,C02,G2,readback,QH1G2C02A,K,Quadrupole
V:2-SR:C02-MG:G2{SQHH:249}Fld:SP,249,V:2-SR,C02,G2,setpoint,SQHHG2C02A,K,Quadrupole
V:2-SR:C02-MG:G2{SQHH:249}Fld:I,249,V:2-SR,C02,G2,readback,SQHHG2C02A,K,Quadrupole
V:2-SR:C02-MG:G2{CXH1:250}Fld:SP,250,V:2-SR,C02,G2,setpoint,CXH1G2C02A,,Horizontal Corrector
V:2-SR:C02-MG:G2{CXH1:250}Fld:I,250,V:2-SR,C02,G2,readback,CXH1G2C02A,,Horizontal Corrector
V:2-SR:C02-MG:G2{CYH1:251}Fld:SP,251,V:2-SR,C02,G2,setpoint,CYH1G2C02A,,Vertical Corrector
V:2-SR:C02-MG:G2{CYH1:251}Fld:I,251,V:2-SR,C02,G2,readback,CYH1G2C02A,,Vertical Corrector
V:2-SR:C02-MG:G2{SQHH:252}Fld:SP,252,V:2-SR,C02,G2,setpoint,SQHHG2C02A,K,Quadrupole
V:2-SR:C02-MG:G2{SQHH:252}Fld:I,252,V:2-SR,C02,G2,readback,SQHHG2C02A,K,Quadrupole
V:2-SR:C02-MG:G2{QH2:254}Fld:SP,254,V:2-SR,C02,G2,setpoint,QH2G2C02A,K,Quadrupole
