 ElementName  ElementType     s       betax    alphax     betay    alphay      etax      etaxp     yAper     xAper  
                              m         m                   m                   m                    m         m    
--------------------------------------------------------------------------------------------------------------------
 DSCH         DRIF         20.792500   20.795142  -10.766766  13.878783  6.699211  0.000472   0.000308  0.005327  0.017838 
 CL2YG6C30B   VKICK        20.792500   20.795142  -10.766766  13.878783  6.699211  0.000472   0.000308  0.005327  0.017838 
 CL2XG6C30B   HKICK        20.792500   20.795142  -10.766766  13.878783  6.699211  0.000472   0.000308  0.005327  0.017838 
 DSCH         DRIF         20.892500   23.004721  -11.329028  12.571999  6.368638  0.000503   0.000308  0.005070  0.018762 
 DL3AG6B      DRIF         21.100600   27.963354  -12.499096  10.064528  5.680717  0.000567   0.000308  0.004536  0.020685 
 QL2G6C30B    QUAD         21.548600   28.635103  11.186103  8.523477  -1.833413  0.000597   -0.000179  0.004174  0.020932 
 DL2CG6B      DRIF         21.798600   23.317345  10.084930  9.472164  -1.961337  0.000552   -0.000179  0.004400  0.018889 
 SL2G6C30B    SEXT         21.998600   19.459561  9.203990  10.277167  -2.063675  0.000516   -0.000179  0.004584  0.017255 
 DL2BG6B      DRIF         22.129850   17.119391  8.625874  10.827696  -2.130835  0.000493   -0.000179  0.004705  0.016185 
 DSCH         DRIF         22.229850   15.438263  8.185405  11.258980  -2.182004  0.000475   -0.000179  0.004798  0.015369 
 CL1YG6C30B   VKICK        22.229850   15.438263  8.185405  11.258980  -2.182004  0.000475   -0.000179  0.004798  0.015369 
 CL1XG6C30B   HKICK        22.229850   15.438263  8.185405  11.258980  -2.182004  0.000475   -0.000179  0.004798  0.015369 
 DSCH         DRIF         22.329850   13.845229  7.744935  11.700498  -2.233174  0.000457   -0.000179  0.004891  0.014555 
 DL2AG6B      DRIF         22.461100   11.888062  7.166819  12.295521  -2.300333  0.000433   -0.000179  0.005014  0.013487 
 QL1G6C30B    QUAD         22.736100   9.435496  2.100070  12.104321  2.968008  0.000409   0.000000  0.004974  0.012016 
 DL1AG6B      DRIF         22.810900   9.124533  2.057180  11.664841  2.907391  0.000409   0.000000  0.004883  0.011816 
 PL1G6C30B    MONI         22.810900   9.124533  2.057180  11.664841  2.907391  0.000409   0.000000  0.004883  0.011816 
 DBPM06       DRIF         22.898600   8.768114  2.006893  11.161117  2.836321  0.000409   0.000000  0.004777  0.011583 
 SL1G6C30B    SEXT         23.098600   7.988293  1.892213  10.059004  2.674246  0.000409   0.000000  0.004535  0.011056 
 GEG6C30B     MULT         23.098600   7.988293  1.892213  10.059004  2.674246  0.000409   0.000000  0.004535  0.011056 
 GSG1C01A     MULT         23.098600   7.988293  1.892213  10.059004  2.674246  0.000409   0.000000  0.004535  0.011056 
 DL0BG1A      DRIF         23.545120   6.412795  1.636180  7.832369  2.312396  0.000409   0.000000  0.004001  0.009906 
 DFT          DRIF         23.567120   6.341081  1.623565  7.731015  2.294568  0.000409   0.000000  0.003975  0.009850 
 FL1G1C01A    MARK         23.567120   6.341081  1.623565  7.731015  2.294568  0.000409   0.000000  0.003975  0.009850 
 DFT          DRIF         23.589120   6.269921  1.610950  7.630447  2.276739  0.000409   0.000000  0.003950  0.009795 
 DFT2         DRIF         23.640120   6.107096  1.581707  7.400327  2.235410  0.000409   0.000000  0.003889  0.009667 
 DLDK         DRIF         23.735120   5.811747  1.527234  6.982913  2.158424  0.000409   0.000000  0.003778  0.009430 
 DL01G1A      DRIF         26.398600   1.743990  -0.000000  1.233993  -0.000000  0.000409   0.000000  0.001588  0.005166 
 MK5G1C01A    MARK         26.398600   1.743990  -0.000000  1.233993  -0.000000  0.000409   0.000000  0.001588  0.005166 
 DL02G1A      DRIF         29.196280   6.231983  -1.604184  7.576828  -2.267177  0.000409   0.000000  0.003936  0.009765 
 DLDK         DRIF         29.291280   6.541953  -1.658657  8.014906  -2.344163  0.000409   0.000000  0.004048  0.010005 
 DFT2         DRIF         29.342280   6.712627  -1.687900  8.256118  -2.385492  0.000409   0.000000  0.004108  0.010135 
 DFT          DRIF         29.364280   6.787172  -1.700515  8.361472  -2.403320  0.000409   0.000000  0.004134  0.010191 
