#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:3-BSR-MG{B1G3C30A_T1:203}Fld:I,203,V:3-BSR,,,readback,B1G3C30A_T1,T,Bending
V:3-BSR-MG{CXM1G4C30A_T1:208}Fld:SP,208,V:3-BSR,,,setpoint,CXM1G4C30A_T1,,Horizontal Corrector
V:3-BSR-MG{CXM1G4C30A_T1:208}Fld:I,208,V:3-BSR,,,readback,CXM1G4C30A_T1,,Horizontal Corrector
V:3-BSR-MG{CYM1G4C30A_T1:209}Fld:SP,209,V:3-BSR,,,setpoint,CYM1G4C30A_T1,,Vertical Corrector
V:3-BSR-MG{CYM1G4C30A_T1:209}Fld:I,209,V:3-BSR,,,readback,CYM1G4C30A_T1,,Vertical Corrector
V:3-BSR-MG{QM1G4C30A_T1:212}Fld:SP,212,V:3-BSR,,,setpoint,QM1G4C30A_T1,K,Quadrupole
V:3-BSR-MG{QM1G4C30A_T1:212}Fld:I,212,V:3-BSR,,,readback,QM1G4C30A_T1,K,Quadrupole
V:3-BSR-MG{SM1G4C30A_T1:214}Fld:SP,214,V:3-BSR,,,setpoint,SM1G4C30A_T1,K,Sextupole
V:3-BSR-MG{SM1G4C30A_T1:214}Fld:I,214,V:3-BSR,,,readback,SM1G4C30A_T1,K,Sextupole
V:3-BSR-MG{FXM1G4C30A_T1:217}Fld:SP,217,V:3-BSR,,,setpoint,FXM1G4C30A_T1,,Horizontal Corrector
V:3-BSR-MG{FXM1G4C30A_T1:217}Fld:I,217,V:3-BSR,,,readback,FXM1G4C30A_T1,,Horizontal Corrector
V:3-BSR-MG{FYM1G4C30A_T1:218}Fld:SP,218,V:3-BSR,,,setpoint,FYM1G4C30A_T1,,Vertical Corrector
V:3-BSR-MG{FYM1G4C30A_T1:218}Fld:I,218,V:3-BSR,,,readback,FYM1G4C30A_T1,,Vertical Corrector
V:3-BSR-BI{PM1G4C30A_T1:221}SA:X,221,V:3-BSR,,,readback,PM1G4C30A_T1,X,Beam Position Monitor
V:3-BSR-BI{PM1G4C30A_T1:221}SA:Y,221,V:3-BSR,,,readback,PM1G4C30A_T1,Y,Beam Position Monitor
V:3-BSR-MG{QM2G4C30A_T1:223}Fld:SP,223,V:3-BSR,,,setpoint,QM2G4C30A_T1,K,Quadrupole
V:3-BSR-MG{QM2G4C30A_T1:223}Fld:I,223,V:3-BSR,,,readback,QM2G4C30A_T1,K,Quadrupole
V:3-BSR-MG{SM2G4C30B_T1:225}Fld:SP,225,V:3-BSR,,,setpoint,SM2G4C30B_T1,K,Sextupole
V:3-BSR-MG{SM2G4C30B_T1:225}Fld:I,225,V:3-BSR,,,readback,SM2G4C30B_T1,K,Sextupole
