#   set point           ,     Properties          ,       Tag   
# missing pulse magnet : CSBEND22.1892SP1SI, CSBEND23.579BU3SI, CSBEND25.7042BU4SI
LTB-MG{Cor:5}DO:RampStart2-Cmd     , elemHandle=read,   elemIndex= 67  , elemName= CY5    ,  devName= C5   ,  elemLength= 0.15,  elemPosition= 10.7742 , elemType=VCOR ,  system=LTB, elemField=ramping,  aphla.sys.LTB 
LTB-MG{Cor:6}DO:RampStart1-Cmd     , elemHandle=read,   elemIndex= 96  , elemName= CX6    ,  devName= C6   ,  elemLength= 0.15,  elemPosition= 15.6747 , elemType=HCOR ,  system=LTB, elemField=ramping,  aphla.sys.LTB 
LTB-MG{Cor:6}DO:RampStart2-Cmd     , elemHandle=read,   elemIndex= 97  , elemName= CY6    ,  devName= C6   ,  elemLength= 0.15,  elemPosition= 15.6747 , elemType=VCOR ,  system=LTB, elemField=ramping,  aphla.sys.LTB 
LTB-MG{Cor:7}DO:RampStart1-Cmd     , elemHandle=read,   elemIndex= 105  , elemName= CX7    ,  devName= C7   ,  elemLength= 0.15,  elemPosition= 17.3378 , elemType=HCOR ,  system=LTB, elemField=ramping,  aphla.sys.LTB 
LTB-MG{Cor:7}DO:RampStart2-Cmd     , elemHandle=read,   elemIndex= 106  , elemName= CY7    ,  devName= C7   ,  elemLength= 0.15,  elemPosition= 17.3378 , elemType=VCOR ,  system=LTB, elemField=ramping,  aphla.sys.LTB 
LTB-MG{Cor:8}DO:RampStart1-Cmd     , elemHandle=read,   elemIndex= 122  , elemName= CX8    ,  devName= C8   ,  elemLength= 0.15,  elemPosition= 19.7964 , elemType=HCOR ,  system=LTB, elemField=ramping,  aphla.sys.LTB 
LTB-MG{Cor:8}DO:RampStart2-Cmd     , elemHandle=read,   elemIndex= 123  , elemName= CY8    ,  devName= C8   ,  elemLength= 0.15,  elemPosition= 19.7964 , elemType=VCOR ,  system=LTB, elemField=ramping,  aphla.sys.LTB 

LTB-BI{BPM:3}I-I                   , elemHandle=read,   elemIndex= 71  , elemName= P3        ,  devName= P3     ,  elemLength= 0.16,  elemPosition= 10.9707, elemType=BPM  ,  system=LTB, elemField=I,         aphla.sys.LTB  
LTB-BI{BPM:4}I-I                   , elemHandle=read,   elemIndex= 82  , elemName= P4        ,  devName= P4     ,  elemLength= 0.16,  elemPosition= 13.3044, elemType=BPM  ,  system=LTB, elemField=I,         aphla.sys.LTB  
LTB-BI{BPM:5}I-I                   , elemHandle=read,   elemIndex= 92  , elemName= P5        ,  devName= P5     ,  elemLength= 0.16,  elemPosition= 15.3818, elemType=BPM  ,  system=LTB, elemField=I,         aphla.sys.LTB  
LTB-BI{BPM:6}I-I                   , elemHandle=read,   elemIndex= 127  , elemName= P6        ,  devName= P6     ,  elemLength= 0.16,  elemPosition= 20.6107, elemType=BPM  ,  system=LTB, elemField=I,         aphla.sys.LTB  
LTB-BI{BPM:2SI}I-I                 , elemHandle=read,   elemIndex= 136  , elemName= P2SI      ,  devName= P2SI   ,  elemLength= 0.16,  elemPosition= 24.9492, elemType=BPM  ,  system=LTB, elemField=I,         aphla.sys.LTB  

LTB-BI{BPM:3}Pos:X-I               , elemHandle=read,   elemIndex= 71  , elemName= P3        ,  devName= P3     ,  elemLength= 0.16,  elemPosition= 10.9707, elemType=BPM  ,  system=LTB, elemField=x,         aphla.sys.LTB  
LTB-BI{BPM:4}Pos:X-I               , elemHandle=read,   elemIndex= 82  , elemName= P4        ,  devName= P4     ,  elemLength= 0.16,  elemPosition= 13.3044, elemType=BPM  ,  system=LTB, elemField=x,         aphla.sys.LTB  
LTB-BI{BPM:5}Pos:X-I               , elemHandle=read,   elemIndex= 92  , elemName= P5        ,  devName= P5     ,  elemLength= 0.16,  elemPosition= 15.3818, elemType=BPM  ,  system=LTB, elemField=x,         aphla.sys.LTB  
LTB-BI{BPM:6}Pos:X-I               , elemHandle=read,   elemIndex= 127  , elemName= P6        ,  devName= P6     ,  elemLength= 0.16,  elemPosition= 20.6107, elemType=BPM  ,  system=LTB, elemField=x,         aphla.sys.LTB  
LTB-BI{BPM:2SI}Pos:X-I             , elemHandle=read,   elemIndex= 136  , elemName= P2SI      ,  devName= P2SI   ,  elemLength= 0.16,  elemPosition= 24.9492, elemType=BPM  ,  system=LTB, elemField=x,         aphla.sys.LTB  

LTB-BI{BPM:3}Pos:Y-I               , elemHandle=read,   elemIndex= 71  , elemName= P3        ,  devName= P3     ,   elemLength= 0.16,  elemPosition= 10.9707, elemType=BPM  ,  system=LTB, elemField=y,         aphla.sys.LTB  
LTB-BI{BPM:4}Pos:Y-I               , elemHandle=read,   elemIndex= 82  , elemName= P4        ,  devName= P4     ,   elemLength= 0.16,  elemPosition= 13.3044, elemType=BPM  ,  system=LTB, elemField=y,         aphla.sys.LTB  
LTB-BI{BPM:5}Pos:Y-I               , elemHandle=read,   elemIndex= 92  , elemName= P5        ,  devName= P5     ,   elemLength= 0.16,  elemPosition= 15.3818, elemType=BPM  ,  system=LTB, elemField=y,         aphla.sys.LTB  
LTB-BI{BPM:6}Pos:Y-I               , elemHandle=read,   elemIndex= 127  , elemName= P6        ,  devName= P6     ,   elemLength= 0.16,  elemPosition= 20.6107, elemType=BPM  ,  system=LTB, elemField=y,         aphla.sys.LTB  
LTB-BI{BPM:2SI}Pos:Y-I             , elemHandle=read,   elemIndex= 136  , elemName= P2SI      ,  devName= P2SI   ,   elemLength= 0.16,  elemPosition= 24.9492, elemType=BPM  ,  system=LTB, elemField=y,         aphla.sys.LTB  

LTB-BI{ICT:2}AveQOverINOS-I        , elemHandle=read,   elemIndex= 109  , elemName= ICT2    ,  devName= ICT2   ,  elemLength= 0.,  elemPosition= 19.0068, elemType=ICT  ,  system=LTB, elemField=Q,         aphla.sys.LTB
LTB-BI{ICT:2}StdQOverINOS-I        , elemHandle=read,   elemIndex= 109  , elemName= ICT2    ,  devName= ICT2   ,  elemLength= 0.,  elemPosition= 19.0068, elemType=ICT  ,  system=LTB,elemField=Qerr,         aphla.sys.LTB

LTB-BI{FCT:2}NbrBunches-I          , elemHandle=read,   elemIndex= 107  , elemName= FCT2  ,  devName= FCT2   ,  elemLength= 0.,  elemPosition= 18.8159, elemType=FCT  ,  system=LTB, elemField=nBunches,         aphla.sys.LTB                                                                                                                                    
                                                                                                                                    
LTB-BI{VF:3}Pos-Sts                    , elemHandle=read,   elemIndex= 76 , elemName= VF3      ,  devName= VF3     ,  elemLength= 0., elemPosition= 12.262, elemType=FLAG ,  system=LTB, elemField=position,  aphla.sys.LTB 
LTB-BI{VF:3}TIFF1:FileNumber_RBV       , elemHandle=read,   elemIndex= 76 , elemName= VF3      ,  devName= VF3     ,  elemLength= 0., elemPosition= 12.262, elemType=FLAG ,  system=LTB, elemField=imageNumber,  aphla.sys.LTB 
LTB-BI{VF:3}TIFF1:FullFileName_RBV     , elemHandle=read,   elemIndex= 76 , elemName= VF3      ,  devName= VF3     ,  elemLength= 0., elemPosition= 12.262, elemType=FLAG ,  system=LTB, elemField=imageName,  aphla.sys.LTB 
LTB-BI{VF:3}X-Gauss:Sigma-I            , elemHandle=read,   elemIndex= 76 , elemName= VF3      ,  devName= VF3     ,  elemLength= 0., elemPosition= 12.262, elemType=FLAG ,  system=LTB, elemField=sigmaX,  aphla.sys.LTB 
LTB-BI{VF:3}Y-Gauss:Sigma-I            , elemHandle=read,   elemIndex= 76 , elemName= VF3      ,  devName= VF3     ,  elemLength= 0., elemPosition= 12.262  , elemType=FLAG ,  system=LTB, elemField=sigmaY,  aphla.sys.LTB 
